Model	molpdf	CA_l-RMSD	BB_l-RMSD	BB_CB_lRMSD	FA_lRMSD
1KLG.BL00050001.pdb	-35.64985	3.884	N/A	N/A	N/A
1KLG.BL00170001.pdb	-33.41607	3.643	N/A	N/A	N/A
1KLG.BL00200001.pdb	-33.35648	3.809	N/A	N/A	N/A
1KLG.BL00150001.pdb	-32.70337	3.596	N/A	N/A	N/A
1KLG.BL00120001.pdb	-29.86217	3.88	N/A	N/A	N/A
1KLG.BL00060001.pdb	-28.19249	3.799	N/A	N/A	N/A
1KLG.BL00080001.pdb	-23.37332	3.656	N/A	N/A	N/A
1KLG.BL00190001.pdb	-17.71453	4.964	N/A	N/A	N/A
1KLG.BL00070001.pdb	-4.39801	3.176	N/A	N/A	N/A
1KLG.BL00010001.pdb	-3.24901	3.767	N/A	N/A	N/A
1KLG.BL00130001.pdb	-0.36682	4.283	N/A	N/A	N/A
1KLG.BL00140001.pdb	59.10963	3.91	N/A	N/A	N/A
1KLG.BL00020001.pdb	103.924	5.638	N/A	N/A	N/A
1KLG.BL00090001.pdb	113.59352	4.825	N/A	N/A	N/A
1KLG.BL00180001.pdb	123.86277	5.454	N/A	N/A	N/A
1KLG.BL00040001.pdb	125.68884	5.216	N/A	N/A	N/A
1KLG.BL00160001.pdb	131.08214	5.208	N/A	N/A	N/A
1KLG.BL00100001.pdb	136.02184	5.244	N/A	N/A	N/A
1KLG.BL00110001.pdb	538.39648	4.38	N/A	N/A	N/A
1KLG.BL00030001.pdb	766.96143	4.929	N/A	N/A	N/A
